Year;Month;City;URL event;Level 2 site;Visitors;Visits;Bounces;Page views;Time spent;Bounce rate
2022;"August";"Barcelona";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Barendrecht";"https://omroepzwart.nl/";"omroepzwart";16;19;11;34;288913;0.578947
2022;"August";"Barneveld";"https://omroepzwart.nl/";"omroepzwart";6;6;4;14;305701;0.666667
2022;"August";"Barueri";"https://omroepzwart.nl/";"omroepzwart";3;4;3;6;28190;0.75
2022;"August";"Bedum";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Beek";"https://omroepzwart.nl/";"omroepzwart";5;5;4;11;93277;0.8
2022;"August";"Beerzerveld";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Beesd";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Beesel";"https://omroepzwart.nl/";"omroepzwart";3;3;2;5;22352;0.666667
2022;"August";"Beetsterzwaag";"https://omroepzwart.nl/";"omroepzwart";3;3;2;6;101384;0.666667
2022;"August";"Beilen";"https://omroepzwart.nl/";"omroepzwart";1;1;0;2;547775;0
2022;"August";"Beirut";"https://omroepzwart.nl/";"omroepzwart";1;1;0;4;982759;0
2022;"August";"Belal abad";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Belfeld";"https://omroepzwart.nl/";"omroepzwart";1;1;0;3;23028;0
2022;"August";"Bello";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Belo horizonte";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Bemmel";"https://omroepzwart.nl/";"omroepzwart";4;5;3;10;171589;0.6
2022;"August";"Beneden leeuwen";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Benitachell";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Bennebroek";"https://omroepzwart.nl/";"omroepzwart";2;2;0;6;103365;0
2022;"August";"Bennekom";"https://omroepzwart.nl/";"omroepzwart";6;7;6;10;57484;0.857143
2022;"August";"Benningbroek";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Benschop";"https://omroepzwart.nl/";"omroepzwart";3;3;0;16;173800;0
2022;"August";"Benthuizen";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Berchem-sainte-agathe";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Berg en dal";"https://omroepzwart.nl/";"omroepzwart";1;1;0;10;954884;0
2022;"August";"Bergambacht";"https://omroepzwart.nl/";"omroepzwart";3;3;3;3;0;1
2022;"August";"Bergen";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Bergen op zoom";"https://omroepzwart.nl/";"omroepzwart";11;11;5;20;607492;0.454545
2022;"August";"Bergentheim";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Berghem";"https://omroepzwart.nl/";"omroepzwart";8;9;4;30;998374;0.444444
2022;"August";"Bergschenhoek";"https://omroepzwart.nl/";"omroepzwart";12;12;6;23;252473;0.5
2022;"August";"Berkel en rodenrijs";"https://omroepzwart.nl/";"omroepzwart";11;12;9;19;296173;0.75
2022;"August";"Berkel-enschot";"https://omroepzwart.nl/";"omroepzwart";2;2;1;4;32517;0.5
2022;"August";"Berkenwoude";"https://omroepzwart.nl/";"omroepzwart";1;1;0;6;400246;0
2022;"August";"Berlicum";"https://omroepzwart.nl/";"omroepzwart";3;4;2;6;22862;0.5
2022;"August";"Berlin";"https://omroepzwart.nl/";"omroepzwart";8;9;4;19;118456;0.444444
2022;"August";"Best";"https://omroepzwart.nl/";"omroepzwart";8;9;6;22;298210;0.666667
2022;"August";"Beuningen";"https://omroepzwart.nl/";"omroepzwart";3;3;2;4;26159;0.666667
2022;"August";"Beusichem";"https://omroepzwart.nl/";"omroepzwart";3;3;2;7;21699;0.666667
2022;"August";"Beverwijk";"https://omroepzwart.nl/";"omroepzwart";12;15;9;26;239396;0.6
2022;"August";"Biddinghuizen";"https://omroepzwart.nl/";"omroepzwart";2;2;0;18;879873;0
2022;"August";"Biest-houtakker";"https://omroepzwart.nl/";"omroepzwart";2;2;1;6;53406;0.5
2022;"August";"Bijelo polje";"https://omroepzwart.nl/";"omroepzwart";1;1;0;4;42708;0
2022;"August";"Bilbao";"https://omroepzwart.nl/";"omroepzwart";1;1;0;3;18375;0
2022;"August";"Bilthoven";"https://omroepzwart.nl/";"omroepzwart";14;14;8;32;558617;0.571429
2022;"August";"Birmingham";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Bladel";"https://omroepzwart.nl/";"omroepzwart";2;3;1;5;59175;0.333333
2022;"August";"Blaricum";"https://omroepzwart.nl/";"omroepzwart";7;7;3;14;226797;0.428571
2022;"August";"Blauwgrond";"https://omroepzwart.nl/";"omroepzwart";3;4;3;6;77444;0.75
2022;"August";"Bleiswijk";"https://omroepzwart.nl/";"omroepzwart";9;11;8;41;784771;0.727273
2022;"August";"Bleskensgraaf";"https://omroepzwart.nl/";"omroepzwart";1;1;0;4;210352;0
2022;"August";"Blokker";"https://omroepzwart.nl/";"omroepzwart";2;2;1;4;36227;0.5
2022;"August";"Bocholtz";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Bochum";"https://omroepzwart.nl/";"omroepzwart";1;1;0;2;24972;0
2022;"August";"Bodegraven";"https://omroepzwart.nl/";"omroepzwart";4;4;4;4;0;1
2022;"August";"Boechout";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Boekel";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Bogota";"https://omroepzwart.nl/";"omroepzwart";1;1;0;3;31686;0
2022;"August";"Bolsward";"https://omroepzwart.nl/";"omroepzwart";5;5;3;9;69211;0.6
2022;"August";"Bonavista";"https://omroepzwart.nl/";"omroepzwart";2;2;1;6;44388;0.5
2022;"August";"Borger";"https://omroepzwart.nl/";"omroepzwart";1;1;0;15;317236;0
2022;"August";"Born";"https://omroepzwart.nl/";"omroepzwart";1;1;0;2;1017;0
2022;"August";"Borne";"https://omroepzwart.nl/";"omroepzwart";8;8;5;14;105724;0.625
2022;"August";"Boskoop";"https://omroepzwart.nl/";"omroepzwart";6;11;6;29;2853851;0.545455
2022;"August";"Boston";"https://omroepzwart.nl/";"omroepzwart";9;9;8;10;9638;0.888889
2022;"August";"Botticino sera";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Bovenkarspel";"https://omroepzwart.nl/";"omroepzwart";1;1;0;4;38621;0
2022;"August";"Boxmeer";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Boxtel";"https://omroepzwart.nl/";"omroepzwart";8;9;5;17;100935;0.555556
2022;"August";"Boydton";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Bragadiru";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Bransholme";"https://omroepzwart.nl/";"omroepzwart";1;1;0;4;124795;0
2022;"August";"Breda";"https://omroepzwart.nl/";"omroepzwart";37;41;19;102;2273413;0.463415
2022;"August";"Breezand";"https://omroepzwart.nl/";"omroepzwart";2;2;0;16;398969;0
2022;"August";"Brescia";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Breukelen";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Bridgewater";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Brielle";"https://omroepzwart.nl/";"omroepzwart";4;4;0;17;203347;0
2022;"August";"Broek op langedijk";"https://omroepzwart.nl/";"omroepzwart";2;2;1;5;39300;0.5
2022;"August";"Brummen";"https://omroepzwart.nl/";"omroepzwart";4;4;2;7;48008;0.5
2022;"August";"Brunssum";"https://omroepzwart.nl/";"omroepzwart";3;3;1;5;20935;0.333333
2022;"August";"Brunswick";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Brussels";"https://omroepzwart.nl/";"omroepzwart";1;1;0;4;623481;0
2022;"August";"Bucharest";"https://omroepzwart.nl/";"omroepzwart";2;2;1;8;114208;0.5
2022;"August";"Budapest";"https://omroepzwart.nl/";"omroepzwart";1;1;0;3;16610;0
