"date_year","date_monthnumber","geo_city","site_level2","event_url","m_unique_visitors","m_visits","m_bounces","m_bounce_rate","m_page_loads","m_time_spent_per_visitor"
2022,10,"Den dungen","omroepzwart","https://omroepzwart.nl/",3,3,3,1.000000,3,0.000000
2022,10,"Den helder","omroepzwart","https://omroepzwart.nl/",27,28,21,0.750000,49,71249.857143
2022,10,"Den hoorn","omroepzwart","https://omroepzwart.nl/",3,3,2,0.666667,10,629049.000000
2022,10,"Den ilp","omroepzwart","https://omroepzwart.nl/",3,3,1,0.333333,6,6711.000000
2022,10,"Den oever","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Denekamp","omroepzwart","https://omroepzwart.nl/",6,6,4,0.666667,10,26754.000000
2022,10,"Des moines","omroepzwart","https://omroepzwart.nl/",11,11,7,0.636364,16,462.750000
2022,10,"Deurne","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Deventer","omroepzwart","https://omroepzwart.nl/",34,41,25,0.609756,111,330604.266667
2022,10,"Didam","omroepzwart","https://omroepzwart.nl/",9,11,9,0.818182,14,8093.000000
2022,10,"Diegem","omroepzwart","https://omroepzwart.nl/",2,2,1,0.500000,10,101561.000000
2022,10,"Diemen","omroepzwart","https://omroepzwart.nl/",65,71,38,0.535211,149,125032.870968
2022,10,"Diepenheim","omroepzwart","https://omroepzwart.nl/",1,1,0,0.000000,3,14778.000000
2022,10,"Dieren","omroepzwart","https://omroepzwart.nl/",4,4,2,0.500000,7,41039.500000
2022,10,"Dierikon","omroepzwart","https://omroepzwart.nl/",1,2,2,1.000000,2,0.000000
2022,10,"Dietzenbach","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Dinxperlo","omroepzwart","https://omroepzwart.nl/",1,1,0,0.000000,2,44441.000000
2022,10,"Dodewaard","omroepzwart","https://omroepzwart.nl/",4,4,1,0.250000,12,80006.333333
2022,10,"Doenrade","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Doesburg","omroepzwart","https://omroepzwart.nl/",4,4,1,0.250000,14,430210.666667
2022,10,"Doetinchem","omroepzwart","https://omroepzwart.nl/",23,24,15,0.625000,49,52304.000000
2022,10,"Doina","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Dokkum","omroepzwart","https://omroepzwart.nl/",2,2,1,0.500000,8,93386.000000
2022,10,"Domburg","omroepzwart","https://omroepzwart.nl/",2,2,1,0.500000,5,1113822.000000
2022,10,"Dongen","omroepzwart","https://omroepzwart.nl/",13,15,7,0.466667,37,88937.000000
2022,10,"Doorn","omroepzwart","https://omroepzwart.nl/",9,9,4,0.444444,24,110551.800000
2022,10,"Doornenburg","omroepzwart","https://omroepzwart.nl/",2,2,1,0.500000,8,101749.000000
2022,10,"Dordrecht","omroepzwart","https://omroepzwart.nl/",80,84,50,0.595238,185,265481.303030
